id,ct_bciinsc,inscricao,potencial_construtivo,renda,dist_via_principal,dist_via_secundaria,dist_polo_padrao,dist_polo_valoriz,dist_polo_desvaloriz,area,predicao
10205980,01.10.013.4006,1100134006,0,1135.74,1548.46,1790.59,305.08,2326.66,1420.1,400,433.94
10205981,01.10.013.4007,1100134007,0,1132.38,1560.52,1807.67,318.7,2337.99,1436.5,400,429.72
10205982,01.10.013.4400,1100134400,0,1150.78,1418.15,1621.03,181.16,2158.67,1256.43,400,453.25
10205983,01.10.013.3960,1100133960,0,1149.48,1444.57,1651.93,204.99,2189.48,1286.67,400,449.86
10205984,01.10.013.4196,1100134196,0,1152.46,1473.59,1665.11,240.73,2203.01,1303.45,400,451.66
10206075,01.10.013.4765,1100134765,0,1168.84,1372.93,1527.47,225.95,2064.97,1174.46,400,449.71
10205985,01.10.013.4025,1100134025,0,1139.74,1482.98,1682.43,245.2,2220.23,1319.13,400,442.16
10205986,01.10.013.4002,1100134002,0,1150.05,1465.38,1668.45,226.68,2206.16,1304.24,400,451.63
10205987,01.10.013.4396,1100134396,0,1151.36,1433.78,1633.39,197.92,2171.13,1269.61,400,452.23
10205988,01.10.013.3995,1100133995,0,1147.04,1437.49,1653.18,196.96,2190.42,1286.29,400,450.11
10205989,01.10.013.4003,1100134003,0,1148.19,1474.33,1682.67,234.23,2220.24,1317.47,400,453.73
10205990,01.10.013.3966,1100133966,0,1145.78,1458.04,1673.68,217.41,2210.96,1306.97,400,450.49
10205991,01.10.013.2444,1100132444,0,1130.7,1701.92,1940.76,458.9,2477.44,1415.42,400,449.42
10205992,01.10.013.2445,1100132445,0,1130.7,1692.28,1933.09,449.66,2468.55,1432.22,400,449.55
10205993,01.10.013.2412,1100132412,0,1129.16,1717.52,1967.15,480.88,2484.57,1427.55,400,450.37
10205994,01.10.013.2452,1100132452,0,1127.1,1640.68,1900.46,406.53,2407.57,1497.37,400,441.99
10205995,01.10.013.2451,1100132451,0,1128.66,1632.57,1889.78,396.62,2401.27,1491.47,400,441.07
10205996,01.10.013.2443,1100132443,0,1129.71,1671.43,1916.47,429.92,2445.97,1452.9,400,446.77
10205997,01.10.013.2446,1100132446,0,1130.22,1681.78,1924.77,439.7,2457.17,1442.11,400,449.85
10205998,01.10.013.2438,1100132438,0,1129.63,1734.52,1971.13,493.65,2506.71,1422.42,400,450.61
10205999,01.10.013.2413,1100132413,0,1125.58,1646.88,1919.73,424.51,2400.9,1452.07,400,444.28
10206000,01.10.013.4046,1100134046,0,1142.54,1504.55,1699.49,268.12,2237.37,1337.36,400,446.91
10206001,01.10.013.4100,1100134100,0,1141.76,1555.62,1741.31,322.15,2279.23,1345.73,400,444.3
10206002,01.10.013.4086,1100134086,0,1143.04,1537.4,1726.3,302.87,2264.23,1360.51,400,445.32
10206003,01.10.013.4036,1100134036,0,1149.26,1513.6,1713.88,274.77,2251.69,1350.67,400,447.08
10206004,01.10.013.4004,1100134004,0,1145.6,1523.88,1729.94,283.72,2267.65,1365.62,400,444.66
10206005,01.10.013.2450,1100132450,0,1130.24,1623.48,1877.95,385.79,2394.2,1485.26,400,440.18
10206006,01.10.013.4016,1100134016,0,1138.54,1535.37,1747.8,294.63,2285.34,1382.32,400,436.07
10206007,01.10.013.2448,1100132448,0,1129.71,1658.24,1905.41,417.39,2432.01,1463.27,400,443.83
10206008,01.10.013.2447,1100132447,0,1129.19,1648.45,1897.77,408.4,2421.31,1474.87,400,442.67
10206009,01.10.013.4204,1100134204,0,1155.24,1593.74,1718.98,370.98,2300.88,1284.28,400,449.27
10206010,01.10.013.4203,1100134203,0,1155.24,1591.02,1728.82,368.01,2298.65,1298.82,400,448.81
10206011,01.10.013.4202,1100134202,0,1154.84,1574.61,1730.83,350.09,2285.22,1301.68,400,447.48
10206012,01.10.013.4200,1100134200,0,1154.84,1557.87,1733.65,331.89,2271.46,1318.96,400,449.06
10206013,01.10.013.4201,1100134201,0,1154.42,1540.39,1719.29,312.9,2257.16,1336.41,400,446.59
10206014,01.10.013.4199,1100134199,0,1153.97,1523.47,1705.41,294.59,2243.32,1346.44,400,445.68
10206015,01.10.013.4198,1100134198,0,1153.49,1506.73,1691.78,276.51,2229.71,1331.91,400,446.74
10206016,01.10.013.4197,1100134197,0,1152.99,1489.29,1677.71,257.67,2215.63,1316.89,400,449.64
10206017,01.10.013.4120,1100134120,0,1143.96,1566.07,1746.52,335.56,2284.39,1323.93,400,447.52
